Date,Open,High,Low,Close,Volume
2015-09-10,28.38,28.38,28.38,28.38,1.0
2015-09-11,28.36,28.36,28.36,28.36,1.0
2015-09-14,28.75,28.75,28.75,28.75,1.0
2015-09-15,28.6,28.6,28.6,28.6,1.0
2015-09-16,28.77,28.77,28.77,28.77,1.0
2015-09-18,29.11,29.11,29.11,29.11,1.0
2015-09-21,29.06,29.06,29.06,29.06,1.0
2015-09-22,28.51,28.51,28.51,28.51,1.0
2015-09-23,28.64,28.64,28.64,28.64,1.0
2015-09-24,28.73,28.73,28.73,28.73,1.0
2015-09-28,28.47,28.47,28.47,28.47,1.0
2015-09-29,28.62,28.62,28.62,28.62,1.0
2015-09-30,28.92,28.92,28.92,28.92,1.0
2015-10-01,28.81,28.81,28.81,28.81,1.0
2015-10-05,29.38,29.38,29.38,29.38,1.0
2015-10-06,29.43,29.43,29.43,29.43,1.0
2015-10-07,29.49,29.49,29.49,29.49,1.0
2015-10-08,29.29,29.29,29.29,29.29,1.0
2015-10-09,29.49,29.49,29.49,29.49,1.0
2015-10-12,29.39,29.39,29.39,29.39,1.0
2015-10-13,29.34,29.34,29.34,29.34,1.0
2015-10-14,29.28,29.28,29.28,29.28,1.0
2015-10-15,29.46,29.46,29.46,29.46,1.0
2015-10-16,29.72,29.72,29.72,29.72,1.0
2015-10-19,29.85,29.85,29.85,29.85,1.0
2015-10-20,29.85,29.85,29.85,29.85,1.0
2015-10-21,29.82,29.82,29.82,29.82,1.0
2015-10-23,29.92,29.92,29.92,29.92,1.0
2015-10-26,29.9,29.9,29.9,29.9,1.0
2015-10-27,29.89,29.89,29.89,29.89,1.0
2015-10-28,29.66,29.66,29.66,29.66,1.0
2015-10-29,29.48,29.48,29.48,29.48,1.0
2015-10-30,29.42,29.42,29.42,29.42,1.0
2015-11-02,29.46,29.46,29.46,29.46,1.0
2015-11-03,29.53,29.53,29.53,29.53,1.0
2015-11-04,29.44,29.44,29.44,29.44,1.0
2015-11-05,29.19,29.19,29.19,29.19,1.0
2015-11-06,29.23,29.23,29.23,29.23,1.0
2015-11-09,29.21,29.21,29.21,29.21,1.0
2015-11-10,28.74,28.74,28.74,28.74,1.0
2015-11-13,28.79,28.79,28.79,28.79,1.0
2015-11-16,28.9,28.9,28.9,28.9,1.0
2015-11-17,28.97,28.97,28.97,28.97,1.0
2015-11-18,28.66,28.66,28.66,28.66,1.0
2015-11-19,29.09,29.09,29.09,29.09,1.0
2015-11-20,29.16,29.16,29.16,29.16,1.0
2015-11-23,29.14,29.14,29.14,29.14,1.0
2015-11-24,29.08,29.08,29.08,29.08,1.0
2015-11-26,29.26,29.26,29.26,29.26,1.0
2015-11-27,29.45,29.45,29.45,29.45,1.0
2015-11-30,29.45,29.45,29.45,29.45,1.0
2015-12-01,29.51,29.51,29.51,29.51,1.0
2015-12-02,29.41,29.41,29.41,29.41,1.0
2015-12-03,29.22,29.22,29.22,29.22,1.0
2015-12-04,28.94,28.94,28.94,28.94,1.0
2015-12-07,28.89,28.89,28.89,28.89,1.0
2015-12-08,28.64,28.64,28.64,28.64,1.0
2015-12-09,28.31,28.31,28.31,28.31,1.0
2015-12-10,28.58,28.58,28.58,28.58,1.0
2015-12-11,28.26,28.26,28.26,28.26,1.0
2015-12-14,28.34,28.34,28.34,28.34,1.0
2015-12-15,28.44,28.44,28.44,28.44,1.0
2015-12-16,28.63,28.63,28.63,28.63,1.0
2015-12-17,28.93,28.93,28.93,28.93,1.0
